"sampleID","tubeLabel","plateID","wellPos"
"FIB00248","fib212-b1-t1","FIBp041","A1"
"FIB00256","fib212-b1-t3","FIBp041","A2"
"FIB00147","fib112-b1-t4","FIBp041","A3"
"FIB00298","fib274-b2-t2","FIBp041","A4"
"FIB00032","fib207-b1-t1","FIBp041","A5"
"FIB00240","fib202-b3-t8","FIBp041","A6"
"FIB00010","fib193-b1-t3","FIBp041","B1"
"FIB00056","fib207-b1-t7","FIBp041","B2"
"FIB00292","fib150-b4-t1","FIBp041","B3"
"FIB00142","fib112-b1-t3","FIBp041","B4"
"FIB00138","fib220-b2-t2","FIBp041","B5"
"FIB00285","fib274-b2-t0","FIBp041","B6"
"FIB00148","fib220-b2-t4","FIBp041","C1"
"FIB00158","fib220-b2-t6","FIBp041","C2"
"FIB00305","fib274-b2-t3","FIBp041","C3"
"FIB00347","fib150-b4-t8","FIBp041","C4"
"FIB00314","fib274-b2-t4","FIBp041","C5"
"FIB00127","fib112-b1-t0","FIBp041","C6"
"FIB00326","fib274-b2-t5","FIBp041","D1"
"FIB00157","fib112-b1-t6","FIBp041","D2"
"FIB00341","fib274-b2-t7","FIBp041","D3"
"FIB00297","fib150-b4-t2","FIBp041","D4"
"FIB00272","fib212-b1-t7","FIBp041","D5"
"FIB00212","fib202-b3-t1","FIBp041","D6"
"FIB00228","fib202-b3-t5","FIBp041","E1"
"FIB00232","fib202-b3-t6","FIBp041","E2"
"FIB00008","fib193-b1-t2","FIBp041","E3"
"FIB00020","fib-193-b1-t6","FIBp041","E4"
"FIB00163","fib220-b2-t7","FIBp041","E5"
"FIB00137","fib112-b1-t2","FIBp041","E6"
"FIB00017","fib193-b1-t4","FIBp041","F1"
"FIB00351","fib274-b2-t8","FIBp041","F2"
"FIB00252","fib212-b1-t2","FIBp041","F3"
"FIB00152","fib112-b1-t5","FIBp041","F4"
"FIB00023","fib193-b1-t7","FIBp041","F5"
"FIB00208","fib202-b3-t0","FIBp041","F6"
"FIB00132","fib112-b1-t1","FIBp042","A1"
"FIB00026","fib193-b1-t8","FIBp042","A2"
"FIB00260","fib212-b1-t4","FIBp042","A3"
"FIB00313","fib150-b4-t4","FIBp042","A4"
"FIB00162","fib112-b1-t7","FIBp042","A5"
"FIB00052","fib-207-b1-t6","FIBp042","A6"
"FIB00040","fib207-b1-t3","FIBp042","B1"
"FIB00236","fib202-b3-t7","FIBp042","B2"
"FIB00168","fib220-b2-t8","FIBp042","B3"
"FIB00264","fib212-b1-t5","FIBp042","B4"
"FIB00216","fib202-b3-t2","FIBp042","B5"
"FIB00244","fib212-b1-t0","FIBp042","B6"
"FIB00044","fib207-b1-t4","FIBp042","C1"
"FIB00016","fib193-b1-t5","FIBp042","C2"
"FIB00310","fib150-b4-t3","FIBp042","C3"
"FIB00153","fib220-b2-t5","FIBp042","C4"
"FIB00001","fib193-b1-t0","FIBp042","C5"
"FIB00167","fib112-b1-t8","FIBp042","C6"
"FIB00323","fib150-b4-t5","FIBp042","D1"
"FIB00006","fib193-b1-t1","FIBp042","D2"
"FIB00224","fib202-b3-t4","FIBp042","D3"
"FIB00036","fib207-b1-t2","FIBp042","D4"
"FIB00028","fib207-b1-t0","FIBp042","D5"
"FIB00343","fib150-b4-t7","FIBp042","D6"
"FIB00143","fib220-b2-t3","FIBp042","E1"
"FIB00268","fib212-b1-t6","FIBp042","E2"
"FIB00288","fib274-b2-t1","FIBp042","E3"
"FIB00220","fib202-b3-t3","FIBp042","E4"
"FIB00048","fib207-b1-t5","FIBp042","E5"
"FIB00335","fib150-b4-t6","FIBp042","E6"
"FIB00133","fib220-b2-t1","FIBp042","F1"
"FIB00284","fib150-b4-t0","FIBp042","F2"
"FIB00128","fib220-b2-t0","FIBp042","F3"
"FIB00060","fib-207-b1-t8","FIBp042","F4"
"FIB00276","fib212-b1-t8","FIBp042","F5"
"FIB00331","fib274-b2-t6","FIBp042","F6"
